id ,Track,Title,Authors
rfp0110,"Economics, Online Markets and Human Computation",Opinion Dynamics with Multiple Adversaries,Akhil Jalan and Marios Papachristou
rfp0366,"Economics, Online Markets and Human Computation",Auto-bidding under Return-on-Spend Constraints with Uncertainty Quantification,"Jiale Han, Chun Gan, Chengcheng Zhang, Jie He, Zhangang
Lin, Ching Law and Xiaowu Dai"
rfp0434,"Economics, Online Markets and Human Computation",Deterring A Small Collusion is All You Need,Yotam Gafni
rfp0507,"Economics, Online Markets and Human Computation",DARA: Few-shot Budget Allocation in Online Advertising via In-Context Decision Making with RL-Finetuned LLMs,"Mingxuan Song, Yusen Huo, Bohan Zhou, Shenglin Yin, Zhen
Xiao, Jieyi Long, Zhilin Zhang and Chuan Yu"
rfp0730,"Economics, Online Markets and Human Computation",The Power of Penalties: Negativity-Aware Incentives for High-Quality Crowdsourced Data Labeling,"Kai Wang, Runze Wu, Yu Xiong, Haifeng Sun, Anran Li,
Shaojie Tang, Changjie Fan and Xiang-Yang Li"
rfp0822,"Economics, Online Markets and Human Computation",Analysis of CEX-DEX Arbitrage Opportunities with Hidden Markov Models,Bence Ladóczki
rfp0939,"Economics, Online Markets and Human Computation",LBM: Hierarchical Large Auto-Bidding Model via Reasoning and Acting,"Yewen Li, Zhiyi Lyu, Peng Jiang, Qingpeng Cai, Fei Pan, Bo
An and Peng Jiang"
rfp1107,"Economics, Online Markets and Human Computation",Platform Competition in the Autobidding World,"Gagan Aggarwal, Andres Perlroth, Ariel Schvartzman Cohenca
and Mingfei Zhao"
rfp1225,"Economics, Online Markets and Human Computation",PMIScore: An Unsupervised Approach to Quantify Dialogue Engagement,"Yongkang Guo, Yuqing Kong and Zhihuan Huang"
rfp1229,"Economics, Online Markets and Human Computation",LiquidityPool: Game-Theoretic Analysis of Stakeholder Revenue in Ranking-Dependent DeFi,"Qinde Chen, Huawei Huang and Jian Zheng"
rfp1286,"Economics, Online Markets and Human Computation",Aggregating Information and Preferences under Different Coordination Ability,"Qishen Han, Grant Schoenebeck, Biaoshuai Tao and Lirong Xia"
rfp1311,"Economics, Online Markets and Human Computation",The Art of Two-Round Voting,"Qishen Han, Grant Schoenebeck, Biaoshuai Tao and Lirong Xia"
rfp1455,"Economics, Online Markets and Human Computation","Allocating Chores with Restricted Additive Costs: Achieving EFX, MMS, and Efficiency Simultaneously","Zehan Lin, Xiaowei Wu and Shengwei Zhou"
rfp1474,"Economics, Online Markets and Human Computation",All-but-one MMS Allocation for Chores,"Jiawei Qiu, Xiaowei Wu, Cong Zhang and Shengwei Zhou"
rfp1495,"Economics, Online Markets and Human Computation",Strategic Content Creation with GenAI: To Share or Not to Share?,Gur Keinan and Omer Ben-Porat
rfp1558,"Economics, Online Markets and Human Computation",AHBid: An Adaptable Hierarchical Bidding Framework for Cross-Channel Advertising,"Xinxin Yang, Yangyang Tang, Yikun Zhou, Yaolei Liu, Yun Li
and Bo Yang"
rfp1698,"Economics, Online Markets and Human Computation",Barter Exchange with Asymmetric Item Valuations,"Juan Luque, Sharmila Duppala, Michael Curry, John Dickerson
and Aravind Srinivasan"
rfp1825,"Economics, Online Markets and Human Computation",Online Rounding and Pricing Schemes for k-Rental Problems,"Hossein Nekouyan, Bo Sun, Raouf Boutaba and Xiaoqi Tan"
rfp1841,"Economics, Online Markets and Human Computation",Online Advertising with Spatial Interactions,"Gagan Aggarwal, Yifan Wang and Mingfei Zhao"
rfp1865,"Economics, Online Markets and Human Computation",Automated Deterministic Auction Design with Objective Decomposition,"Zhijian Duan, Haoran Sun, Yichong Xia, Siqiang Wang, Zhilin
Zhang, Chuan Yu, Jian Xu and Xiaotie Deng"
rfp2135,"Economics, Online Markets and Human Computation",The Query Complexity of Uniform Pricing,"Houshuang Chen, Yaonan Jin, Pinyan Lu and Chihao Zhang"
rfp2292,"Economics, Online Markets and Human Computation",Pay for The Second-Best Service: A Game-Theoretic Approach against Dishonest LLM Providers,"Yuhan Cao, Yu Wang, Sitong Liu, Miao Li, Yixin Tao and
Tianxing He"
rfp2506,"Economics, Online Markets and Human Computation",Position Auctions in AI-Generated Content,"Santiago Balseiro, Kshipra Bhawalkar, Yuan Deng, Zhe Feng,
Jieming Mao, Aranyak Mehta, Vahab Mirrokni, Renato Paes
Leme, Di Wang and Song Zuo"
rfp2508,"Economics, Online Markets and Human Computation",Determinants and Effects of Buy Box Suppression on Amazon,"Jeffrey Gleason, Shuo Zhang and Christo Wilson"
rfp2518,"Economics, Online Markets and Human Computation",How to Strategize Human Content Creation in the Era of GenAI?,"Seyed Esmaeili, Kevin Lim, Kshipra Bhawalkar, Zhe Feng, Di
Wang and Haifeng Xu"
rfp2539,"Economics, Online Markets and Human Computation",Additively Competitive Secretaries,"Mohammad Mahdian, Jieming Mao, Enze Sun, Kangning Wang and
Yifan Wang"
rfp2547,"Economics, Online Markets and Human Computation",Improving the Price of Anarchy via Predictions in Parallel-Link Networks,"George Christodoulou, Vasilis Christoforidis, Alkmini
Sgouritsa and Ioannis Vlachos"
rfp2666,"Economics, Online Markets and Human Computation",The Price of Uncertainty for Social Consensus,Yunzhe Bai and Alec Sun
rfp2834,"Economics, Online Markets and Human Computation",Marketing Hosting: From Fixed to Endogenous Budgets,"Bingzhe Wang, Tianyu Wang, Qi Qi, Xiaoxuan Deng, Zhilin
Zhang and Chuan Yu"
rfp3242,"Economics, Online Markets and Human Computation",Efficient and Fair Allocation on Graphs: From Orientation to Position-Aware Valuations,"Bo Li, Ankang Sun and Shiji Xing"
rfp3267,"Economics, Online Markets and Human Computation",Data Pricing via Competitive Equilibrium,"Bhaskar Chaudhury, Jugal Garg, Aniket Murhekar and Jiaxin
Song"
rfp3426,"Economics, Online Markets and Human Computation",Single-Sample Bilateral Trade with a Broker,"Mohammadtaghi Hajiaghayi, Gary Peng and Suho Shin"
rfp3609,"Economics, Online Markets and Human Computation",Social Deliberation: Democratic Deliberation Through Unbiased Social Interactions,"Dana Afazeli, Mohamad Latifian and Masoud Seddighin"
rfp3786,"Economics, Online Markets and Human Computation",Differentially Private Anonymous Bandits for Multi-User Systems,"Mohammad Reza Badri, Hossein Esfandiari, Samira
Hosseinghorban and Alireza Rezaeimoghadam"
rfp3842,"Economics, Online Markets and Human Computation",Understanding Strategic Platform Entry and Seller Exploration: A Stackelberg Model,"Garrett Seo, Xintong Wang and David Parkes"
rfp4490,"Economics, Online Markets and Human Computation",Stochastic Wage Suppression on Gig Platforms and How to Organize Against It,"Ana-Andreea Stoica, Celestine Mendler-Duenner and Moritz
Hardt"
rfp0027,Graph Algorithms and Modeling for the Web,Difference-based Sample Selection for Federated Graph Rationalization,Linan Yue and Weibo Gao
rfp0068,Graph Algorithms and Modeling for the Web,Toward Graph-Tokenizing Large Language Models with Reconstructive Graph Instruction Tuning,"Zhongjian Zhang, Xiao Wang, Mengmei Zhang, Jiarui Tan and
Chuan Shi"
rfp0109,Graph Algorithms and Modeling for the Web,Multi-Source Unsupervised Graph Domain Adaptation via Concise Propagation–Transformation Pipeline,"Jiayi Wang, Yi Li, Xin Zheng, Junyang Chen, Yanqing Guo,
Alan Wee-Chung Liew and Shirui Pan"
rfp0161,Graph Algorithms and Modeling for the Web,Class-Domain Incremental Learning on Graphs via Disentangled Knowledge Distillation,"Qin Tian, Chen Zhao, Xintao Wu, Dong Li, Minglai Shao,
Xujiang Zhao and Wenjun Wang"
rfp0199,Graph Algorithms and Modeling for the Web,Riemannian Liquid Spatio-Temporal Graph Network,"Liangsi Lu, Jingchao Wang, Zhaorong Dai, Hanqian Liu and
Yang Shi"
rfp0207,Graph Algorithms and Modeling for the Web,Topology-Aware Feature Sorting Enables Universal Modeling on Homophilic and Heterophilic Graphs,"Yi Wang, Jitao Zhao, Dongxiao He, Jia Li, Yuxiao Huang and
Zhiyong Feng"
rfp0296,Graph Algorithms and Modeling for the Web,Exploring Sequential Dynamics on Temporal Graphs via Composite Filtering,"Yuanyuan Xu, Danni Wu, Xuemin Lin, Dong Wen, Wenjie Zhang,
Lei Chen and Ying Zhang"
rfp0318,Graph Algorithms and Modeling for the Web,Diffusion-based Kriging Model with Graph-enhanced Attention,"Mingtao Zhang, Guoli Yang, Zhanxing Zhu, Guangyin Jin,
Mengzhu Wang and Xiaoying Bai"
rfp0362,Graph Algorithms and Modeling for the Web,Graph Retention Networks for Dynamic Graphs,"Qian Chang, Xia Li, Xiufeng Cheng, Runsong Jia, Jinqing
Yang, Guoping Hu and Ciprian Doru Giurcaneanu"
rfp0364,Graph Algorithms and Modeling for the Web,A Graph Foundation Model for Unified Anomaly Detection,"Renda Han, Xiaobao Wang, Luzhi Wang, Wenxin Zhang,
Guangzhen Yao and Hongxiang Liang"
rfp0382,Graph Algorithms and Modeling for the Web,Maximum Edge-based Quasi-Clique: Novel Iterative Frameworks,"Hongbo Xia, Shengxin Liu and Zhaoquan Gu"
rfp0383,Graph Algorithms and Modeling for the Web,Beyond Single-Granularity Prompts: A Multi-Scale Chain-of-Thought Prompt Learning for Graph,"Ziyu Zheng, Yaming Yang, Ziyu Guan, Wei Zhao, Xinyan Huang
and Weigang Lu"
rfp0389,Graph Algorithms and Modeling for the Web,Scalable and Provable Biclique-Preserving Clustering: The Power of Counting-based Approaches,"Longlong Lin, Zeli Wang, Rong-Hua Li, Xiaohai Dai, Li Ni
and Jin Zhao"
rfp0409,Graph Algorithms and Modeling for the Web,Graph Diffusion Evolution Model for Multi-Conditional Molecular Generation,"Xingcheng Fu, Lingyun Liu, Yisen Gao, Tianyu Chen, Qingyun
Sun, Jianxin Li and Xianxian Li"
rfp0413,Graph Algorithms and Modeling for the Web,Multi-Source Information Driven Spatio-Temporal Hypergraph Learning for Traffic Forecasting,"Ping Zhang, Jiayu Leng, Liang Yang, Anchen Li, Xiaochun Cao
and Riting Xia"
rfp0432,Graph Algorithms and Modeling for the Web,Riemannian Graph Tokenizer for Structural Knowledge Transfer,"Qimin Zhou, Haibo Liu, Yujie Wang, Li Sun and Chuan Shi"
rfp0446,Graph Algorithms and Modeling for the Web,Integrated Mixture of Neighborhood and Community Experts for Graph-Based Fraud Detection,"Zhizhi Yu, Di Jin, Dongxiao He, Wenhuan Lu and Jianguo Wei"
rfp0498,Graph Algorithms and Modeling for the Web,LEDA: Latent Semantic Distribution Alignment for Multi-domain Graph Pre-training,"Lianze Shan, Jitao Zhao, Dongxiao He, Siqi Liu, Jiaxu Cui
and Weixiong Zhang"
rfp0571,Graph Algorithms and Modeling for the Web,RAG-GFM: Overcoming In-Memory Bottlenecks in Graph Foundation Models via Retrieval-Augmented Generation,"Haonan Yuan, Qingyun Sun, Jiacheng Tao, Xingcheng Fu and
Jianxin Li"
rfp0608,Graph Algorithms and Modeling for the Web,SGExplainer: Balanced Path-based Signed Graph Neural Network Explanation for Link Sign Prediction,"Jie Gao, Jia Hu, Geyong Min and Fei Hao"
rfp0647,Graph Algorithms and Modeling for the Web,FeedGuard: Online Critic-Guided Reinforcement Learning with Privacy-Preserving Feedback for Recommendation,"Mengying Zhu, Feiyue Chen, Lifan Jiang, Mengyuan Yang,
Yangyang Wu, Guanjie Cheng and Xiaolin Zheng"
rfp0664,Graph Algorithms and Modeling for the Web,"HomeRun: Performing Curveball Trades quasi in Streaming for Fast Null Modeling of Graphs, Hypergraphs, and Binary Matrices",Michelle Contreras-Catalan and Matteo Riondato
rfp0697,Graph Algorithms and Modeling for the Web,Dir-GD: Directed Graph Distillation,"Ce Yang, Fei Hao, Jie Gao, Jianrui Chen, Jia Hu and Geyong
Min"
rfp0698,Graph Algorithms and Modeling for the Web,TAWRMAC: A Novel Dynamic Graph Representation Learning Method,"Soheila Farokhi, Xiaojun Qi and Hamid Karimi"
rfp0734,Graph Algorithms and Modeling for the Web,Graph Neural Network Model Transferability Estimation via Decomposition-Augmented Discriminant Analysis,"Huanchang Ma, Xin Zheng, Jianyu Li, Alan Wee-Chung Liew,
Wei Lan and Jian Gao"
rfp0797,Graph Algorithms and Modeling for the Web,negMIX: Negative Mixup for OOD Generalization in Open-Set Node Classification,"Junwei Gong, Xiao Shen, Zhihao Chen, Shirui Pan, Xiao Wang
and Xi Zhou"
rfp0832,Graph Algorithms and Modeling for the Web,UTAG: Leveraging LLM as a Unified Embedding Generator for Text-Attributed Graphs,"Mingqian Ding, Jianjun Li, Zhiyuan Ma, Liwei Zhang and
Wenqi Yang"
rfp0851,Graph Algorithms and Modeling for the Web,Mitigating Dynamic Graph Distribution Shifts via Mixture of Variational Experts,"Qianyu Song, Chao Li, Yeyu Yan, Hui Zhou, Zhongying Zhao
and Qingtian Zeng"
rfp0905,Graph Algorithms and Modeling for the Web,STG-DGR: Fraud Detection on Streaming Transaction Graphs with Diffusion-based Generative Replay,"Rui Ou, Kun Zhu, Nana Zhang, Jiangtong Li, Chaochao Chen
and Changjun Jiang"
rfp0950,Graph Algorithms and Modeling for the Web,Text-attributed Graph Condensation via Text Selection and Attribute Matching,"Haowei Han, Yuxiang Wang, Guojia Wan, Hao Wang, Shanshan
Feng, Hao Huang, Jiawei Jiang and Xiao Yan"
rfp0968,Graph Algorithms and Modeling for the Web,Practical Group Steiner Tree Algorithms for Web Applications with Many Groups,"Qicheng Shan, Yuxuan Yang and Gong Cheng"
rfp1006,Graph Algorithms and Modeling for the Web,Unsupervised Subgraph Anomaly Detection based on Pattern Collaboration,"Sun Jiayang, Liu Shenghao, Deng Xianjun, Xiang Wei, Luo
Meng, Zhang Qiankun and Zheng Dandan"
rfp1058,Graph Algorithms and Modeling for the Web,GraphTARIF: Linear Graph Transformer with Augmented Rank and Improved Focus,"Zhaolin Hu, Kun Li, Hehe Fan and Yi Yang"
rfp1097,Graph Algorithms and Modeling for the Web,VSAL: A Vision Solver with Adaptive Layouts for Graph Property Detection,Jiahao Xie and Guangmo Tong
rfp1142,Graph Algorithms and Modeling for the Web,Towards Graph Foundation Model: Node Feature Transfer Invariant Modeling on General Graphs,"Jitao Zhao, Yi Wang, Yawen Li, Dongxiao He, Di Jin, Zhiyong
Feng and Weixiong Zhang"
rfp1182,Graph Algorithms and Modeling for the Web,Sustained Vertex Cover on Temporal Graphs,"Junqiang Peng, Tian Bai, Jingyang Zhao and Mingyu Xiao"
rfp1187,Graph Algorithms and Modeling for the Web,Dual-level Reweighting for Positive-Unlabeled Graph Classification,"Junghun Kim, Shihyung Park and U Kang"
rfp1255,Graph Algorithms and Modeling for the Web,A Unified Graph Clustering Network,"Renda Han, Xiaobao Wang, Longbiao Wang, Wenxin Zhang,
Ronghao Fu, Kaiming Wang, Zeyu Zhang and Kuntharrgyal Khysru"
rfp1264,Graph Algorithms and Modeling for the Web,DP-DGAD: A Generalist Dynamic Graph Anomaly Detector with Dynamic Prototypes,"Jialun Zheng, Jie Liu, Jiannong Cao, Xiao Wang, Hanchen
Yang and Yankai Chen"
rfp1287,Graph Algorithms and Modeling for the Web,E$^2$SGNN: Reconciling Expression and Efficiency in Spiking Graph Neural Network,"Han Zhao, Xu Yang, Cheng Deng and Fan Liu"
rfp1342,Graph Algorithms and Modeling for the Web,Anomaly Detection of Interaction Behaviors in Streaming Graphs,"Shuai Ren, Fan Zhang, Bolin Wang, Xiang Zhao and Zhihong
Tian"
rfp1354,Graph Algorithms and Modeling for the Web,Graph-to-Tree: Topological Decomposition for Self-Supervised Learning,"Yejiang Wang, Yuhai Zhao, Fangting Li, Jiapu Wang, Meixia
Wang, Ling Li, Miaomiao Huang, Zhengkui Wang and Shirui Pan"
rfp1493,Graph Algorithms and Modeling for the Web,Revisiting Graph-Level Anomaly Detection: From Partially to Fully Unsupervised Learning,"Zhenyu Yang, Ge Zhang, Shan Xue, Xiaoxiao Ma, Jian Yang,
Hao Peng, Amin Beheshti and Jia Wu"
rfp1538,Graph Algorithms and Modeling for the Web,Network Dismantling via Reverse Dismantling: Static and Dynamic Algorithms,"Jinyu Duan, Sijin Wang, Fan Zhang, Xiang Zhao, Wenjie Zhang
and Zhihong Tian"
rfp1571,Graph Algorithms and Modeling for the Web,FedCND: Federated Graph-Level Clustering under Inter-Client Cluster Number Discrepancy,"Junlong Wu, Renda Han, Wenxuan Tu, Jingxin Liu, Haotian
Wang and Jieren Cheng"
rfp1574,Graph Algorithms and Modeling for the Web,SCOUT: Structure-Aware Aspect and Anchor-Count Selection for Node Attribute Augmentation via Positional Information,"Dong-Hyuk Seo, Sein Kim, Taeri Kim, Won-Yong Shin and
Sang-Wook Kim"
rfp1628,Graph Algorithms and Modeling for the Web,Breaking the Scalability Barrier in Constrained Graph-Based Networked Control via Decision-Focused Learning,"Zhaoxing Yang, Yuchen Guo, Wenlong Li, Guiyun Fan, Haiming
Jin and Linghe Kong"
rfp1666,Graph Algorithms and Modeling for the Web,PAGE: Progressive Anomaly Generation Network for Semi-supervised Graph Anomaly Detection,"Ting Guo, Dongyu Pei, Gangzhu Qiao, Kaixuan Yao and Da Wang"
rfp1672,Graph Algorithms and Modeling for the Web,Invariant Learning on Heterogeneous Graphs via Subgraph Environment Inference,"Yanghui Fu, Yunfei Wang, Hao Zou, Yue He, Haotian Wang,
Qing Cheng, Guangquan Cheng and Shixuan Liu"
rfp1689,Graph Algorithms and Modeling for the Web,ScaleGNN: Towards Scalable Graph Neural Networks via Adaptive High-order Neighboring Feature Fusion,"Xiang Li, Jianpeng Qi, Haobing Liu, Yuan Cao, Guoqing Chao,
Zhongying Zhao, Junyu Dong, Xinwang Liu and Yanwei Yu"
rfp1737,Graph Algorithms and Modeling for the Web,PIGCN: Physics-Inspired Graph Convolution Networks for Heterogeneous Social Event Detection,"Yongsheng Yu, Congbo Ma, Zitai Qiu, Shan Xue, Jian Yang and
Jia Wu"
rfp1806,Graph Algorithms and Modeling for the Web,Weighted Graph Clustering via Scale Contraction and Graph Structure Learning,"Haobing Liu, Yinuo Zhang, Tingting Wang, Ruobing Jiang and
Yanwei Yu"
rfp1831,Graph Algorithms and Modeling for the Web,Cross-Type Semantic Alignment for Multi-Type Anomaly Detection in Heterogeneous Graphs,"Di Jin, Xiao Huang, Xiaobao Wang, Fengyu Yan, Luzhi Wang
and Hongxiang Liang"
rfp1919,Graph Algorithms and Modeling for the Web,Graph Cross-Domain Continual Fine-Tuning via Orthogonal LoRA Routing with Contrastive Expert Specialization,"Qianyi Cai, Ziyue Qiao, Minghao Yang, Xiao Luo and Hui Xiong"
rfp2055,Graph Algorithms and Modeling for the Web,Unveiling Backdoor Propagation in Graphs: Neuron-Centric Defense Mechanisms,"Di Jin, Bingdao Feng, Xiaobao Wang, Yuxiang Zhang, Zechuan
Zhang, Liang Yang, Dongxiao He and Zhen Wang"
rfp2111,Graph Algorithms and Modeling for the Web,Hierarchical Graph-Bag-Network for Self-Supervised Multi-Graph Learning,"Meixia Wang, Yuhai Zhao, Zhengkui Wang, Fenglong Ma,
Yejiang Wang, Miaomiao Huang, Fazal Wahab, Wen Shan and
Xingwei Wang"
rfp2152,Graph Algorithms and Modeling for the Web,MessageShift: Fine-Grained Data Augmentation for Graph Neural Networks,"Weigang Lu, Zheng Liang, Yaming Yang, Ziyu Zheng, Meng Yan,
Beilei Ling, Ziyu Guan and Wei Zhao"
rfp2180,Graph Algorithms and Modeling for the Web,Generalizable Graph-level Anomaly Detection via Prompted Anomaly Expansion and Normality Extraction,"Ge Zhang, Jiapei Chen, Guohao Sun, Xiu Fang, Zhenyu Yang,
Xixun Lin and Liang Yang"
rfp2202,Graph Algorithms and Modeling for the Web,From Representation to Clusters: A Contrastive Learning Approach for Attributed Hypergraph Clustering,"Li Ni, Shuaikang Zeng, Lin Mu and Longlong Lin"
rfp2225,Graph Algorithms and Modeling for the Web,Heterophily-Agnostic Hypergraph Neural Networks with Riemannian Local Exchanger,"Li Sun, Ming Zhang, Wenxin Jin, Zhongtian Sun, Zhenhao
Huang, Hao Peng, Sen Su and Philip Yu"
rfp2273,Graph Algorithms and Modeling for the Web,Meta-Learning Driven Few-Shot Knowledge Transfer with Dual-Stage Adaptive Data Replay for Cross-Domain Recommendation,"Yilei Qiu, Fei Xiong, Jun Hu, Shirui Pan and Liang Wang"
rfp2341,Graph Algorithms and Modeling for the Web,VecFormer: Towards Efficient and Generalizable Graph Transformer with Graph Token Attention,"Jingbo Zhou, Jun Xia, Siyuan Li, Yunfan Liu, Wenjun Wang,
Yufei Huang, Changxi Chi, Mutian Hong, Zhuoli Ouyang, Shu
Wang, Zhongqi Wang, Xingyu Wu, Chang Yu and Stan Z. Li"
rfp2349,Graph Algorithms and Modeling for the Web,Mitigating Homophily Disparity in Graph Anomaly Detection: A Scalable and Adaptive Approach,"Yunhui Liu, Qizhuo Xie, Yinfeng Chen, Xudong Jin, Tao
Zheng, Bin Chong and Tieke He"
rfp2351,Graph Algorithms and Modeling for the Web,IVQ-GNN: Mitigating Performance Gaps from Graph Connection Pattern Inconsistency via Vector Quantization,"Di Jin, Yixuan Du, Cuiying Huo, Xiaotong Huang, Ruqiong
Zhang, Xiaobao Wang and Yawen Li"
rfp2417,Graph Algorithms and Modeling for the Web,Disentangled Graph LLM for Molecule Graph Editing under Distribution Shifts,"Yang Yao, Xin Wang, Yuan Meng, Zeyang Zhang, Hong Mei and
Wenwu Zhu"
rfp2418,Graph Algorithms and Modeling for the Web,KEGOD: Kernel-enhanced Latent Substructure Learning for Graph Out-Of-Distribution Detection,"Yifan Wang, Haodong Zhang, Zhiping Xiao, Yusheng Zhao, Siyu
Yi, Nan Yin, Xinwang Liu, Ming Zhang and Wei Ju"
rfp2504,Graph Algorithms and Modeling for the Web,Identification of Influential Node Group in Attributed Graph through Explaining Graph Neural Network,"Xiao Tan, Tongtong Su, Jiayi Wu, Yan Zhang, Binghui Xu,
Dian Shen, Meng Wang and Beilun Wang"
rfp2555,Graph Algorithms and Modeling for the Web,AC$^2$L-GAD: Active Counterfactual Contrastive Learning for Graph Anomaly Detection,"Kamal Berahmand, Saman Forouzandeh, Mehrnoush Mohammadi,
Parham Moradi and Mahdi Jalili"
rfp2623,Graph Algorithms and Modeling for the Web,Controllable Graph Generation with Diffusion Models via Inference-Time Tree Search Guidance,"Jiachi Zhao, Zehong Wang, Yamei Liao, Chuxu Zhang and
Yanfang Ye"
rfp2631,Graph Algorithms and Modeling for the Web,Frequency-Corrupt Based Graph Self-Supervised Learning,"Haojie Li, Mengjiao Zhang, Guanfeng Liu, Qiang Hu, Yan Wang
and Junwei Du"
rfp2705,Graph Algorithms and Modeling for the Web,Can LLMs Fool Graph Learning? Exploring Universal Adversarial Attacks on Text-Attributed Graphs,"Zihui Chen, Yuling Wang, Pengfei Jiao, Kai Wu, Xiao Wang,
Xiang Ao and Dalin Zhang"
rfp2729,Graph Algorithms and Modeling for the Web,A^2GBD: Attack-Agnostic Graph Backdoor Defense,"Chenxu Du, Yang Liu, Xingtong Yu, Zhuoer Xu, Yang Liu and
Tianrui Li"
rfp2752,Graph Algorithms and Modeling for the Web,Multi-view Hierarchical Graph Contrastive Learning based on Asynchronous Asymmetric Structure,"Chuangui Cao, Shifei Ding, Jian Zhang, Lili Guo and Xuan Li"
rfp2805,Graph Algorithms and Modeling for the Web,Hi-GMAE: Hierarchical Graph Masked Autoencoders,"Chuang Liu, Zelin Yao, Xueqi Ma, Mukun Chen, Luzhi Wang,
Jia Wu and Wenbin Hu"
rfp2810,Graph Algorithms and Modeling for the Web,Towards Robust Heterogeneous Graph Explanations under Structural Perturbations,"Yifan Lu, Pengfei Jiao, Xuan Guo, Ziyun Zou, Yiwei Wang,
Mengzhou Gao, Huaming Wu and Imran Razzak"
rfp2820,Graph Algorithms and Modeling for the Web,Discrete Diffusion-Based Model-Level Explanation of Heterogeneous GNNs with Node Features,Pallabee Das and Stefan Heindorf
rfp2848,Graph Algorithms and Modeling for the Web,Long-Tailed Recognition of Evidential Experts for Graph-level Classification,"Wei Ju, Siyu Yi, Zhengyang Mao, Yifang Qin, Yifan Wang,
Zhiping Xiao, Yiwei Fu, Ziyue Qiao and Ming Zhang"
rfp2850,Graph Algorithms and Modeling for the Web,SPGCL: Subgraph Pattern-Aware Graph Contrastive Learning for High-Order Structural Representation,"Zhe Zhan, Xiangshi Li, Tingting Wang, Shuo Yu and Henan Lei"
rfp2911,Graph Algorithms and Modeling for the Web,A Dual-Channel Contrastive Learning Framework for Anomaly Detection in Dynamic Graph Structures,"Runshuo Liu, Chao Li, Zhongying Zhao, Hui Zhou and Qingtian
Zeng"
rfp2927,Graph Algorithms and Modeling for the Web,Collaborative Subgraph Learning based Spectrum Sensing under Partial Observations,"Zhaowei Liu, Chang Liu, Dong Yang, Weiqing Yan, Yongchao
Song and Anzuo Jiang"
rfp2931,Graph Algorithms and Modeling for the Web,OFA-MAS: One-for-All Multi-Agent System Topology Design based on Mixture-of-Experts Graph Generative Models,"Shiyuan Li, Yixin Liu, Yu Zheng, Mei Li, Quoc Viet Hung
Nguyen and Shirui Pan"
rfp2966,Graph Algorithms and Modeling for the Web,LLM-enhanced Federated Graph Learning with Geometry-aware Graph Projection and Shared Subspace Aggregation,"Pengyang Zhou, Zhihao Huang, Jiahe Xu, Wu Wen, Xiaolin
Zheng, Chaochao Chen and Jianwei Yin"
rfp2975,Graph Algorithms and Modeling for the Web,SLFM: Semi-Supervised Local Community Detection Based on Hyperbolic Flow Matching,"Haixu Xiong, Li Sun, Yun Xiong, Suyang Zhou, Hongrun Ren
and Yangyong Zhu"
rfp3024,Graph Algorithms and Modeling for the Web,Contextual Structure-Enhanced Selective Graph Convolutional Network,"Shifei Ding, Fangchen Li, Lili Guo and Jian Zhang"
rfp3049,Graph Algorithms and Modeling for the Web,Structure-Semantic Synergized Deep Contrastive Graph Clustering,"Shifei Ding, Zhe Li, Xiao Xu and Chao Li"
rfp3231,Graph Algorithms and Modeling for the Web,Unifying Graph Out-of-Distribution Generalization and Detection through Spectral Contrastive Invariant learning,"Tianyin Liao, Ge Lan, Rui Chen, Ran Zhang, Zhiming Chen,
Xiao Wang and Ziwei Zhang"
rfp3241,Graph Algorithms and Modeling for the Web,GraphRAG-R1: Graph Retrieval-Augmented Generation with Process-Constrained Reinforcement Learning,"Chuanyue Yu, Kuo Zhao, Yuhan Li, Heng Chang, Mingjian Feng,
Xiangzhe Jiang, Yufei Sun, Jia Li, Yuzhi Zhang, Qingyun
Sun, Jianxin Li and Ziwei Zhang"
rfp3251,Graph Algorithms and Modeling for the Web,WPIS: From In-the-Wild Web Images to Physics-Aware 3D Scene Graphs for Physical Reasoning,"Ke Ma, Cong Fu, Jianing Wang, Yifei Wang, Wenyuan Li,
Xinggang Wang, Meng Wang and Tian Xia"
rfp3479,Graph Algorithms and Modeling for the Web,Revisiting and Enhancing Graph Neural Networks through the Lens of Amortized Flows,"Minjie Cheng, Bokai Yan, Dixin Luo and Hongteng Xu"
rfp3499,Graph Algorithms and Modeling for the Web,STELA: Spatiotemporal Forecasting via Graph Learning and Entropy-Guided LLM Adaptation,"Tiantian Huang, Yue Li, Wei Shao, Ziqi Xu, Qipeng Song and
Hui Li"
rfp3680,Graph Algorithms and Modeling for the Web,Towards Geometry-Consistent Federated Graph Learning,"Yuecen Wei, Zhiyu Zhuang, Yisen Gao, Xingcheng Fu, Qingyun
Sun, Ziwei Zhang, Tianyu Wo and Chunming Hu"
